index,antibiotic
0,ceftriaxone
1,amoxicillin-clavulanic acid
1,ampicillin
1,azithromycin
1,cefoxitin
1,chloramphenicol
1,tetracycline
2,erythromycin
2,gentamicin
2,penicillin
7,cefazolin
7,cefoxitin
7,ceftazidime
7,ceftriaxone
7,ciprofloxacin
7,gentamicin
7,imipenem
7,levofloxacin
7,nitrofurantoin
7,trimethoprim-sulfamethoxazole
8,amoxicillin-clavulanic acid
8,cefepime
8,ceftazidime
8,ceftriaxone
8,ciprofloxacin
8,colistin
8,gentamicin
8,levofloxacin
8,meropenem
8,tetracycline
8,tobramycin
9,amoxicillin-clavulanic acid
9,nitrofurantoin
9,tetracycline
10,amoxicillin-clavulanic acid
10,ampicillin-sulbactam
10,ampicillin
10,cefazolin
10,tetracycline
11,amoxicillin-clavulanic acid
11,ampicillin-sulbactam
11,ampicillin
11,aztreonam
11,cefazolin
11,cefoxitin
11,doripenem
11,ertapenem
11,imipenem
11,meropenem
12,amoxicillin-clavulanic acid
12,ampicillin-sulbactam
12,ampicillin
12,aztreonam
12,cefazolin
12,ertapenem
12,imipenem
12,meropenem
12,tetracycline
13,amoxicillin-clavulanic acid
13,tetracycline
14,amoxicillin
14,ampicillin
14,cefoxitin
14,ceftriaxone
14,chloramphenicol
14,ciprofloxacin
14,gentamicin
14,tetracycline
14,trimethoprim-sulfamethoxazole
15,ampicillin-sulbactam
15,ampicillin
15,cefazolin
15,cefoxitin
15,colistin
15,polymyxin B
16,cefazolin
16,colistin
16,polymyxin B
17,ampicillin-sulbactam
17,ampicillin
17,aztreonam
17,cefepime
17,cefotaxime
17,cefoxitin
17,ceftazidime
17,ceftolozane-tazobactam
17,ceftriaxone
17,piperacillin-tazobactam
17,tetracycline
18,amikacin
18,ampicillin-sulbactam
18,ampicillin
18,aztreonam
18,cefazolin
18,cefotaxime
18,cefoxitin
18,ceftazidime
18,ceftolozane-tazobactam
18,ceftriaxone
18,ciprofloxacin
18,gentamicin
18,levofloxacin
18,tetracycline
18,tobramycin
18,trimethoprim-sulfamethoxazole
19,amikacin
19,ampicillin-sulbactam
19,ampicillin
19,cefazolin
19,cefotaxime
19,cefoxitin
19,ceftazidime
19,ceftolozane-tazobactam
19,ceftriaxone
19,gentamicin
19,tobramycin
19,trimethoprim-sulfamethoxazole
20,ampicillin-sulbactam
20,ampicillin
20,aztreonam
20,cefazolin
20,cefepime
20,cefotaxime
20,cefoxitin
20,ceftazidime
20,ceftolozane-tazobactam
20,ceftriaxone
20,ciprofloxacin
20,doripenem
20,ertapenem
20,gentamicin
20,imipenem
20,meropenem
20,piperacillin-tazobactam
20,tetracycline
20,tobramycin
20,trimethoprim-sulfamethoxazole
21,ampicillin-sulbactam
21,ampicillin
21,cefazolin
21,cefepime
21,ceftazidime
21,ceftriaxone
21,ciprofloxacin
21,ertapenem
21,imipenem
21,meropenem
21,piperacillin-tazobactam
22,amoxicillin-clavulanic acid
22,ampicillin-sulbactam
22,ampicillin
