index,antibiotic
1,ceftriaxone
1,ciprofloxacin
1,gentamicin
1,nalidixic acid
1,streptomycin
1,sulfisoxazole
1,trimethoprim-sulfamethoxazole
2,vancomycin
7,amikacin
7,cefepime
7,ertapenem
7,meropenem
8,amikacin
8,trimethoprim-sulfamethoxazole
9,amikacin
9,cefepime
9,ceftazidime
9,ceftriaxone
9,ciprofloxacin
9,ertapenem
9,gentamicin
9,levofloxacin
9,meropenem
9,tobramycin
9,trimethoprim-sulfamethoxazole
10,amikacin
10,aztreonam
10,cefepime
10,cefotaxime
10,ceftazidime
10,ceftriaxone
10,ciprofloxacin
10,doripenem
10,ertapenem
10,gentamicin
10,imipenem
10,levofloxacin
10,meropenem
10,piperacillin-tazobactam
10,tigecycline
10,tobramycin
10,trimethoprim-sulfamethoxazole
11,amikacin
11,cefepime
11,cefotaxime
11,ceftazidime
11,ceftriaxone
11,ciprofloxacin
11,gentamicin
11,levofloxacin
11,piperacillin-tazobactam
11,tigecycline
11,tobramycin
11,trimethoprim-sulfamethoxazole
12,amikacin
12,cefepime
12,cefotaxime
12,ceftazidime
12,ceftriaxone
12,ciprofloxacin
12,gentamicin
12,levofloxacin
12,piperacillin-tazobactam
12,tigecycline
12,tobramycin
12,trimethoprim-sulfamethoxazole
13,amikacin
13,cefepime
13,ceftazidime
13,ceftriaxone
13,ciprofloxacin
13,ertapenem
13,gentamicin
13,levofloxacin
13,meropenem
13,tobramycin
13,trimethoprim-sulfamethoxazole
15,amikacin
15,aztreonam
15,cefepime
15,cefotaxime
15,ceftazidime
15,ceftriaxone
15,ciprofloxacin
15,doripenem
15,ertapenem
15,gentamicin
15,imipenem
15,levofloxacin
15,meropenem
15,minocycline
15,piperacillin-tazobactam
15,tigecycline
15,tobramycin
15,trimethoprim-sulfamethoxazole
16,amikacin
16,ampicillin-sulbactam
16,ampicillin
16,aztreonam
16,cefepime
16,cefotaxime
16,cefoxitin
16,ceftazidime
16,ceftriaxone
16,ciprofloxacin
16,doripenem
16,ertapenem
16,gentamicin
16,imipenem
16,levofloxacin
16,meropenem
16,minocycline
16,piperacillin-tazobactam
16,tigecycline
16,tobramycin
16,trimethoprim-sulfamethoxazole
17,amikacin
17,ceftazidime-avibactam
