index,gen
0,aac(6')-Ia
0,aadA1
0,ampC
0,ant(2'')-Ia
0,blaOXA-10
0,blaOXA-956
0,blaVEB-1
0,cphA1
0,dfrA14
0,tet(E)
0,vat
1,blaCSA
1,fos
2,aac(3)-XI
2,erm(X)
2,tet(W)
3,aac(6')
3,blaSRT-3
3,fos
3,sdeB
3,sdeY
3,smfY
3,tet(41)
4,aac(6')
4,blaSME-2
4,blaSRT
4,fos
4,sdeB
4,sdeY
4,smfY
5,aac(6')
5,blaSRT
5,fos
5,sdeB
5,sdeY
5,smfY
5,tet(41)
6,aac(6')-Ic
6,blaCTX-M-15
6,blaSME-2
6,blaSRT
6,fos
6,qnrS1
6,sdeB
6,sdeY
6,smfY
7,aac(6')
7,ant(2'')-Ia
7,ant(3'')
7,aphA16
7,blaOXA-2
7,blaSHV-30
7,blaSRT
7,fos
7,sdeB
7,sdeY
7,smfY
7,sul1
7,tet(41)
8,aac(3)-VIa
8,aac(6')-Ib'
8,aac(6')
8,aph(3')-Ia
8,arr-3
8,blaKPC-4
8,blaOXA-1
8,blaOXA-9
8,blaSRT
8,blaTEM-1
8,catB3
8,fos
8,mph(A)
8,sdeB
8,sdeY
8,smfY
8,sul1
8,tet(41)
9,aac(6')
9,blaSRT
9,sdeB
9,sdeY
9,smfY
9,tet(41)
10,aac(6')
10,blaSRT
10,fos
10,sdeB
10,sdeY
11,aac(6')-Ic
11,blaSME-4
11,blaSRT
11,fos
11,sdeB
11,sdeY
11,smfY
12,aac(6')
12,blaSME-4
12,blaSRT-3
12,fos
12,sdeB
12,sdeY
12,smfY
12,tet(41)
13,aac(6')
13,blaSRT
13,fos
13,sdeB
13,sdeY
13,smfY
13,tet(41)
14,ampC
14,fos
14,sdeB
14,sdeY
15,aac(6')
15,blaSRT
15,fos
15,sdeB
15,sdeY
15,smfY
16,ampC
16,aph(3')
16,sdeY
17,aac(6')
17,ant(2'')-Ia
17,aphA16
17,blaSHV-7
17,blaSRT-2
17,sdeB
17,sdeY
17,smfY
18,aac(6')
18,aadA2
18,aph(3'')-Ib
18,aph(6)-Id
18,armA
18,arr-2
18,blaCMY-16
18,blaOXA-10
18,blaSRT
18,cmlA5
18,dfrA12
18,dfrA14
18,floR
18,mph(E)
18,msr(E)
18,qnrA6
18,sdeB
18,sdeY
18,smfY
18,sul1
18,sul2
18,tet(A)
19,aac(6')-Ib-cr5
19,aac(6')
19,ant(2'')-Ia
19,aph(3')-VIa
19,blaFOX-5
19,blaOXA-2
19,blaOXA
19,blaSRT
19,dfrA19
19,mph(E)
19,msr(E)
19,qnrA1
19,sdeB
19,sdeY
19,smfY
19,sul1
19,tet(41)
20,aac(3)-IIe
20,aac(6')-Ib-cr5
20,aac(6')
20,aph(3'')-Ib
20,aph(6)-Id
20,blaCTX-M-15
20,blaKPC-3
20,blaOXA-1
20,blaSRT-2
20,blaTEM-1
20,dfrA14
20,qnrB1
20,sdeB
20,sdeY
20,smfY
20,sul2
20,tet(A)
21,aac(6')-Ib3
21,aac(6')
21,aadA2
21,aph(3'')-Ib
21,aph(6)-Id
21,blaKPC-2
21,blaSRT
21,blaTEM-1
21,dfrA19
21,fos
21,mcr-9.1
21,qnrA1
21,sdeB
21,sdeY
21,smfY
21,sul1
21,sul2
21,tet(41)
21,tet(D)
22,aac(6')
22,blaSME-4
22,blaSRT-2
22,fos
22,sdeB
22,sdeY
22,smfY
23,aac(6')
23,blaSME-4
23,blaSRT-2
23,fos
23,sdeB
23,sdeY
23,smfY
24,aac(6')
24,blaSME-4
24,blaSRT-2
24,fos
24,sdeB
24,sdeY
24,smfY
25,aac(6')
25,blaSME-4
25,blaSRT-2
25,fos
25,sdeB
25,sdeY
25,smfY
26,aac(6')-Ib'
26,aac(6')
26,aadA1
26,aph(3')-Ia
26,blaKPC-3
26,blaOXA-9
26,blaSRT
26,blaTEM-1
26,fos
26,sdeB
26,sdeY
26,smfY
26,tet(41)
27,aac(6')-Ic
27,blaSRT
27,fos
27,sdeB
27,sdeY
27,smfY
28,aac(6')-Ic
28,blaSME-4
28,blaSRT
28,fos
28,sdeB
28,sdeY
28,smfY
29,aac(6')
29,blaSME-4
29,blaSRT-2
29,fos
29,sdeB
29,sdeY
29,smfY
30,aac(6')
30,blaSRT
30,fos
30,sdeB
30,sdeY
30,smfY
30,tet(41)
31,aac(3)-IId
31,aac(6')-Ib3
31,aac(6')
31,blaCMY-4
31,blaSHV-12
31,blaSRT
31,blaTEM-1
31,dfrA1
31,fos
31,sdeB
31,sdeY
31,smfY
31,tet(41)
31,tet(D)
32,aac(6')
32,blaSRT
32,fos
32,sdeB
32,sdeY
32,smfY
32,tet(41)
33,aac(3)-VIa
33,aac(6')-Ib-cr5
33,aac(6')
33,aph(3')-Ia
33,arr-3
33,blaKPC-4
33,blaOXA-1
33,blaOXA-9
33,blaSRT
33,blaTEM-1
33,catB3
33,fos
33,sdeB
33,sdeY
33,smfY
33,sul1
33,tet(41)
34,abaF
34,blaPEN-A
34,norM
35,norM
35,tet(64)
36,ant(3'')
36,arr
36,bla
36,blaPEN-bcc
36,cml
37,norM
37,tet(64)
38,aac(3)-XI
38,aph(3'')-Ib
38,aph(3')-Ia
38,aph(6)-Id
38,cmx
38,erm(X)
38,tetA
39,aac(3)-XI
39,erm(X)
39,tet(W)
40,aph(3')-IIc
40,aph(6)
40,arr
40,blaL1
40,blaL2
40,emrA
40,emrB
40,emrC
40,smeF
41,erm(A)
42,farB
42,mtrA
42,norM
43,farB
43,mtrA
43,mtrC
43,norM
44,farB
44,mtrA
44,mtrC
44,norM
45,farB
45,mtrA
45,mtrC
45,norM
46,farB
46,mtrA
46,mtrC
46,norM
47,farB
47,mtrA
47,mtrC
47,norM
48,farB
48,mtrA
48,mtrC
48,norM
49,farB
49,mtrA
49,mtrC
49,norM
50,farB
50,mtrA
50,mtrC
50,norM
51,farB
51,mtrA
51,mtrC
51,norM
52,farB
52,mtrA
52,mtrC
52,norM
53,farB
53,mtrA
53,mtrC
53,norM
54,farB
54,mtrA
54,mtrC
54,norM
55,farB
55,mtrA
55,mtrC
55,norM
56,farB
56,mtrA
56,mtrC
56,norM
57,farB
57,mtrA
57,mtrC
57,norM
58,farB
58,mtrA
58,mtrC
58,norM
59,aac(6')-Ib'
59,aadA1
59,blaCTX-M-115
59,blaKPC-3
59,blaTEM-1
59,fosA
59,qnrB19
60,blaACT
60,catA
60,fosA
60,oqxB
61,blaMIR-11
61,catA
61,fosA
61,oqxB
62,blaACT-24
62,blaCTX-M-3
62,catA
62,dfrA15
62,fosA
62,oqxB
62,sul1
63,blaACT
63,catA
63,fosA
63,oqxB
64,blaACT-52
64,catA
64,fosA
64,oqxB
65,blaACT
65,catA
65,fosA
65,oqxB
66,blaMIR-17
66,catA
66,fosA
66,oqxB
67,catA
67,fosA
67,oqxB
68,aac(3)-IIb
68,aac(6')-Ib-cr5
68,arr-3
68,blaACT
68,blaFOX-3
68,blaOXA-1
68,blaTEM-1
68,catA
68,catB3
68,fosA
68,mcr-9.1
68,mph(A)
68,oqxB
68,sul1
69,blaMIR-9
69,catA
69,fosA
69,mcr-10.1
69,oqxB
70,blaACT-17
70,catA
70,fosA
71,blaACT
71,catA
71,fosA
72,blaACT
72,catA
72,fosA
72,oqxB
73,blaACT
73,catA
73,fosA
73,oqxB
74,aph(3'')-Ib
74,aph(6)-Id
74,blaACT-17
74,catA
74,dfrA14
74,fosA
74,oqxB
74,sul2
75,blaACT-15
75,catA
75,fosA
75,oqxB
76,blaACT
76,catA
76,fosA
76,oqxB
77,aph(3'')-Ib
77,aph(6)-Id
77,blaACT-16
77,blaKPC-3
77,blaTEM-1
77,catA2
77,catA
77,dfrA14
77,fosA
77,oqxB
77,qnrS1
77,sul2
77,tet(D)
78,blaACT-74
78,catA
78,fosA
79,aac(6')-Ib4
79,aadA1
79,aadA2
79,aph(3'')-Ib
79,aph(3')-Ia
79,aph(6)-Id
79,blaACT-17
79,blaKPC-3
79,blaOXA-9
79,blaSHV-12
79,blaTEM-1
79,catA2
79,catA
79,dfrA19
79,floR2
79,fosA
79,mcr-9.1
79,oqxB
79,qnrB2
79,sul1
79,sul2
79,tet(G)
80,aac(3)-Ib
80,aph(3')-Ia
80,blaACT-24
80,blaKPC-4
80,blaLAP-2
80,blaTEM-1
80,catA
80,dfrA14
80,dfrA15
80,fosA
80,oqxB
80,qnrS1
80,sul1
81,aac(3)-VIa
81,aac(6')-Ib-cr5
81,aadA1
81,aph(3')-Ia
81,arr-3
81,blaACT-24
81,blaKPC-4
81,blaLAP-2
81,blaOXA-1
81,blaTEM-1
81,catA
81,catB3
81,fosA
81,mph(A)
81,oqxB
81,qnrS1
81,sul1
82,blaACT
82,catA
82,fosA
82,mcr-10.1
82,oqxB
83,aac(6')-Ib
83,blaACT-17
83,catA
83,fosA
83,oqxB
84,blaMIR-16
84,catA
84,fosA
84,oqxB
85,aac(3)-IIe
85,aac(6')-Ib-cr5
85,aac(6')-Ib3
85,aac(6')-Ib4
85,aadA1
85,aadA2
85,aph(3')-XV
85,arr-3
85,blaACT-16
85,blaCTX-M-9
85,blaOXA-1
85,blaSHV-12
85,blaVIM-1
85,catA1
85,catA
85,catB2
85,catB3
85,dfrA16
85,fosA
85,mcr-9.2
85,oqxB
85,sul1
85,tet(A)
86,ant(2'')-Ia
86,blaACT-3
86,blaSHV-7
86,catA
86,fosA
86,oqxB
86,qnrE
87,blaACT
87,catA
87,oqxB
88,blaACT
88,blaIMI-1
88,catA
88,fosA
88,oqxB
88,qnrE
89,aac(6')-Il
89,aadA1
89,aadA2
89,ant(2'')-Ia
89,blaACT-45
89,blaCTX-M-9
89,blaTEM-1
89,blaVIM-1
89,dfrA16
89,dfrA1
89,fosA
89,mcr-9.1
89,oqxA
89,oqxB
89,qnrA1
89,sat2
89,sul1
90,blaACT-55
90,oqxA
90,oqxB
91,aac(6')-Ib
91,blaACT-17
91,blaSHV-12
91,fosA
91,oqxA
91,oqxB
92,blaACT-16
92,blaLAP-2
92,fosA
