index,#Organism group,Strain
0,Aeromonas salmonicida,ECFood+05
1,Cronobacter,USDA-ARS-USMARC-54664
2,Corynebacterium striatum,1.0
3,Serratia marcescens,BIDMC 50
4,Serratia marcescens,BIDMC 44
5,Serratia marcescens,BIDMC 81
6,Serratia marcescens,BIDMC 80
7,Serratia marcescens,1
8,Serratia marcescens,2
9,Serratia marcescens,3
10,Serratia marcescens,AR_0027
11,Serratia marcescens,AR_0099
12,Serratia marcescens,AR_0130
13,Serratia marcescens,332
14,Serratia marcescens,JL03
15,Serratia marcescens,CFSAN059633
16,Serratia marcescens,CFSAN059619
17,Serratia marcescens,4
18,Serratia marcescens,5
19,Serratia marcescens,6
20,Serratia marcescens,7
21,Serratia marcescens,MRSN696556
22,Serratia marcescens,AR_0123
23,Serratia marcescens,AR_0121
24,Serratia marcescens,AR_0131
25,Serratia marcescens,AR_0122
26,Serratia marcescens,95
27,Serratia marcescens,8
28,Serratia marcescens,AR_0091
29,Serratia marcescens,AR_0124
30,Serratia marcescens,CFSAN059607
31,Serratia marcescens,CFSAN059609
32,Serratia marcescens,CFSAN059606
33,Serratia marcescens,9
34,Burkholderia cepacia complex,1
35,Burkholderia cepacia complex,2
36,Burkholderia cepacia complex,SCAID TST1-2021 (11/270)
37,Burkholderia cepacia complex,3
38,Corynebacterium striatum,2.0
39,Corynebacterium striatum,3.0
40,Stenotrophomonas maltophilia,SCAID WND1-2022 (370)
41,Streptococcus agalactiae,1.0
42,Neisseria meningitidis,PMB5266
43,Neisseria meningitidis,PMB4477
44,Neisseria meningitidis,PMB5019
45,Neisseria meningitidis,PMB5018
46,Neisseria meningitidis,PMB4479
47,Neisseria meningitidis,PMB4478
48,Neisseria meningitidis,PMB5028
49,Neisseria meningitidis,PMB5030
50,Neisseria meningitidis,PMB5029
51,Neisseria meningitidis,PMB5301
52,Neisseria meningitidis,PMB5023
53,Neisseria meningitidis,PMB5022
54,Neisseria meningitidis,PMB5021
55,Neisseria meningitidis,PMB5025
56,Neisseria meningitidis,PMB5027
57,Neisseria meningitidis,PMB5026
58,Neisseria meningitidis,PMB5024
59,Kluyvera_intermedia,FDA-CDC-AR_0144
60,Enterobacter,MGH 38
61,Enterobacter,MGH 34
62,Enterobacter,MGH 26
63,Enterobacter,MGH 24
64,Enterobacter,MGH 23
65,Enterobacter,MGH 22
66,Enterobacter,MGH 16
67,Enterobacter,UCI 50
68,Enterobacter,UCI 49
69,Enterobacter,UCI 39
70,Enterobacter,UCI 30
71,Enterobacter,UCI 23
72,Enterobacter,BIDMC 30
73,Enterobacter,BIDMC 29
74,Enterobacter,BIDMC 28
75,Enterobacter,BIDMC 27
76,Enterobacter,BIDMC 26
77,Enterobacter,BIDMC 8
78,Enterobacter,MGH 33
79,Enterobacter,MGH 15
80,Enterobacter,MGH 5
81,Enterobacter,MGH 2
82,Enterobacter,BIDMC 67
83,Enterobacter,MGH 53
84,Enterobacter,MGH 54
85,Enterobacter,MRSN 17626
86,Enterobacter,1
87,Enterobacter,2
88,Enterobacter,3
89,Enterobacter,Pasteur MLST 171
90,Enterobacter,Pasteur MLST -
91,Enterobacter,Pasteur MLST 461
93,Enterobacter,4
94,Enterobacter,5
95,Enterobacter,6
96,Enterobacter,Pasteur MLST 108
98,Enterobacter,7
99,Enterobacter,8
100,Enterobacter,Pasteur MLST 151
103,Enterobacter,FDA-CDC-AR_0008
104,Enterobacter,9
105,Enterobacter,10
108,Enterobacter,11
109,Enterobacter,12
110,Enterobacter,13
111,Enterobacter,Pasteur MLST 165
112,Enterobacter,Pasteur MLST 252
113,Enterobacter,14
114,Enterobacter,15
115,Enterobacter,16
116,Enterobacter,17
117,Enterobacter,18
118,Enterobacter,19
119,Enterobacter,20
120,Enterobacter,AR_0065
121,Enterobacter,21
122,Enterobacter,22
123,Enterobacter,23
124,Enterobacter,24
125,Enterobacter,AR_0163
126,Enterobacter,25
127,Enterobacter,26
128,Enterobacter,27
129,Enterobacter,KPCRETH17
130,Enterobacter,KPC4_1
131,Enterobacter,AR_0060
132,Enterobacter,AR_0072
133,Enterobacter,28
134,Enterobacter,AR_0367
135,Enterobacter,FDA-CDC-AR_0132
136,Enterobacter,FDA-CDC-AR_0164
137,Enterobacter,AR432
138,Enterobacter,29
139,Enterobacter,ABYVI
140,Enterobacter,CFSAN059636
141,Enterobacter,CFSAN059615
142,Enterobacter,CFSAN059613
143,Enterobacter,30
144,Enterobacter,31
145,Enterobacter,32
146,Enterobacter,33
147,Enterobacter,34
148,Enterobacter,35
149,Enterobacter,36
150,Enterobacter,37
151,Enterobacter,ECl_1.VN
152,Enterobacter,ECl_2.VN
153,Enterobacter,38
154,Enterobacter,39
155,Enterobacter,R_A5.MM
156,Enterobacter,R_G3
157,Morganella morganii,MRSN22709
158,Morganella morganii,1
159,Morganella morganii,2
160,Morganella morganii,AR_0133
161,Morganella morganii,3
162,Enterobacter,AR_0002
163,Enterobacter,40
164,Enterobacter,41
165,Enterobacter,42
173,Enterobacter,AR_0136
174,Enterobacter,43
175,Morganella morganii,4
176,Enterobacter,174
177,Enterobacter,AR_0448
178,Enterobacter,MGH 14
179,Enterobacter,MGH 3
181,Enterobacter,44
182,Enterobacter,BWH 37
183,Enterobacter,BIDMC 66
184,Enterobacter,Res13-Abat-PEA24-P5-01-A
185,Enterobacter,Res13-Abat-PEA24-P4-02
186,Enterobacter,Res13-Abat-PEA24-P1-02
187,Enterobacter,Res13-Abat-PEA24-P4-01
188,Enterobacter,Res13-Abat-PEA24-P1-01
189,Enterobacter,Res13-Abat-PEA15-P4-01
190,Enterobacter,45
191,Enterobacter,BIDMC 33A
192,Enterobacter,MGH 10
193,Enterobacter,AR_038
194,Enterobacter,46
195,Enterobacter,Res13-Lact-PEC05-10
196,Enterobacter,Res13-Lact-PEC05-16
197,Enterobacter,Res13-Lact-PEC05-17
198,Enterobacter,AR_0154
199,Enterobacter,47
200,Enterobacter,109
201,Enterobacter,MGH 8
202,Enterobacter,MGH 12
203,Enterobacter,MGH 11
204,Enterobacter,AR_0053
205,Enterobacter,MGH 6
206,Enterobacter,MGH 1
208,Enterobacter,48
209,Enterobacter,MGH 9
210,Enterobacter,AR_0050
211,Enterobacter,AR_0032
212,Enterobacter,MGH 13
213,Enterobacter,MGH 4
214,Neisseria,SW0259
215,Neisseria,SW0223
216,Neisseria,SW0015
217,Neisseria,SW0032
218,Neisseria,SW0011
219,Neisseria,SW0018
220,Neisseria,SW0005
221,Neisseria,SW0002
222,Neisseria,1
223,Neisseria,CT532
224,Neisseria,H035
225,Vibrio cholerae,19NY03SH07
226,Vibrio cholerae,19CA02SH07
227,Enterobacter,UCI 24
228,Enterobacter,UCI 29
